C1, 50.75, 17.75, 270.00, 100n, C0603
C10, 20.50, 20.00, 270.00, 100n, C0603
C11, 22.25, 19.50, 270.00, 100n, C0603
C12, 24.00, 17.75, 270.00, 220n, C0603
C13, 24.00, 26.25, 180.00, 100n, C0603
C14, 30.00, 26.25, 0.00, 100n, C0603
C15, 14.75, 17.75, 270.00, 100n, C0603
C16, 2.50, 20.00, 270.00, 100n, C0603
C17, 4.25, 19.50, 270.00, 100n, C0603
C18, 6.00, 17.75, 270.00, 220n, C0603
C19, 6.00, 26.25, 180.00, 100n, C0603
C20, 12.00, 26.25, 0.00, 100n, C0603
C21, 3.40, 13.50, 90.00, 100n, C0603
C22, 15.65, 11.25, 90.00, 100n, C0603
C23, 13.90, 11.75, 90.00, 100n, C0603
C24, 12.15, 13.50, 90.00, 220n, C0603
C25, 12.15, 5.00, 0.00, 100n, C0603
C26, 6.15, 5.00, 180.00, 100n, C0603
C27, 21.40, 13.50, 90.00, 100n, C0603
C28, 33.65, 11.25, 90.00, 100n, C0603
C29, 31.90, 11.75, 90.00, 100n, C0603
C3, 38.50, 20.00, 270.00, 100n, C0603
C30, 30.15, 13.50, 90.00, 220n, C0603
C31, 30.15, 5.00, 0.00, 100n, C0603
C32, 24.15, 5.00, 180.00, 100n, C0603
C33, 39.40, 13.50, 90.00, 100n, C0603
C34, 51.65, 11.25, 90.00, 100n, C0603
C35, 49.90, 11.75, 90.00, 100n, C0603
C36, 48.15, 13.50, 90.00, 220n, C0603
C37, 48.15, 5.00, 0.00, 100n, C0603
C38, 42.15, 5.00, 180.00, 100n, C0603
C4, 40.25, 19.50, 270.00, 100n, C0603
C5, 32.75, 17.75, 270.00, 100n, C0603
C6, 42.00, 17.75, 270.00, 220n, C0603
C7, 42.00, 26.25, 180.00, 100n, C0603
C9, 48.00, 26.25, 0.00, 100n, C0603
DRV1, 45.00, 22.00, 0.00, A4988, QFN28
DRV2, 27.00, 22.00, 0.00, A4988, QFN28
DRV3, 9.00, 22.00, 0.00, A4988, QFN28
DRV4, 9.15, 9.25, 180.00, A4988, QFN28
DRV5, 27.15, 9.25, 180.00, A4988, QFN28
DRV6, 45.15, 9.25, 180.00, A4988, QFN28
R1, 48.50, 18.50, 0.00, 100K, R0603
R10, 20.50, 25.00, 90.00, 100K, R0603
R11, 16.25, 19.75, 270.00, 82K, R0603
R12, 16.25, 23.00, 270.00, 2K, R0603
R13, 12.50, 18.50, 0.00, 100K, R0603
R14, 12.50, 17.00, 0.00, 0R, R0603
R15, 2.50, 25.00, 90.00, 100K, R0603
R16, 1.90, 11.50, 90.00, 82K, R0603
R17, 1.90, 8.25, 90.00, 2K, R0603
R18, 5.65, 12.75, 180.00, 100K, R0603
R19, 5.65, 14.25, 180.00, 0R, R0603
R2, 52.25, 19.75, 270.00, 82K, R0603
R20, 15.65, 6.25, 270.00, 100K, R0603
R21, 19.90, 11.50, 90.00, 82K, R0603
R22, 19.90, 8.25, 90.00, 2K, R0603
R23, 23.65, 12.75, 180.00, 100K, R0603
R24, 23.65, 14.25, 180.00, 0R, R0603
R25, 33.65, 6.25, 270.00, 100K, R0603
R26, 37.90, 11.50, 90.00, 82K, R0603
R27, 37.90, 8.25, 90.00, 2K, R0603
R28, 41.65, 12.75, 180.00, 100K, R0603
R29, 41.65, 14.25, 180.00, 0R, R0603
R3, 52.25, 23.00, 270.00, 2K, R0603
R30, 51.65, 6.25, 270.00, 100K, R0603
R4, 38.50, 25.00, 90.00, 100K, R0603
R5, 34.25, 19.75, 270.00, 82K, R0603
R6, 48.50, 17.00, 0.00, 0R, R0603
R7, 34.25, 23.00, 270.00, 2K, R0603
R8, 30.50, 18.50, 0.00, 100K, R0603
R9, 30.50, 17.00, 0.00, 0R, R0603
RS1, 42.00, 27.50, 0.00, 0.1R, R0603
RS10, 24.15, 3.75, 0.00, 0.1R, R0603
RS11, 48.15, 3.75, 180.00, 0.1R, R0603
RS12, 42.15, 3.75, 0.00, 0.1R, R0603
RS2, 48.00, 27.50, 180.00, 0.1R, R0603
RS3, 24.00, 27.50, 0.00, 0.1R, R0603
RS4, 30.00, 27.50, 180.00, 0.1R, R0603
RS5, 6.00, 27.50, 0.00, 0.1R, R0603
RS6, 12.00, 27.50, 180.00, 0.1R, R0603
RS7, 12.15, 3.75, 180.00, 0.1R, R0603
RS8, 6.15, 3.75, 0.00, 0.1R, R0603
RS9, 30.15, 3.75, 180.00, 0.1R, R0603
